Temp,Density,Cp,k,Pr,α ,μ ,ν 
-150,2.866,983,0.01171,0.7246,4.16E-06,8.64E-06,3.01E-06
-100,2.038,966,0.01582,0.7263,8.04E-06,1.19E-05,5.84E-06
-50,1.582,999,0.01979,0.744,1.25E-05,1.47E-05,9.32E-06
-40,1.514,1002,0.02057,0.7436,1.36E-05,1.53E-05,1.01E-05
-30,1.451,1004,0.02134,0.7425,1.47E-05,1.58E-05,1.09E-05
-20,1.394,1005,0.02211,0.7408,1.58E-05,1.63E-05,1.17E-05
-10,1.341,1006,0.02288,0.7387,1.70E-05,1.68E-05,1.25E-05
0,1.292,1006,0.02364,0.7362,1.82E-05,1.73E-05,1.34E-05
5,1.269,1006,0.02401,0.735,1.88E-05,1.75E-05,1.38E-05
10,1.246,1006,0.02439,0.7336,1.94E-05,1.78E-05,1.43E-05
15,1.225,1007,0.02476,0.7323,2.01E-05,1.80E-05,1.47E-05
20,1.204,1007,0.02514,0.7309,2.07E-05,1.83E-05,1.52E-05
25,1.184,1007,0.02551,0.7296,2.14E-05,1.85E-05,1.56E-05
30,1.164,1007,0.02588,0.7282,2.21E-05,1.87E-05,1.61E-05
35,1.145,1007,0.02625,0.7268,2.28E-05,1.90E-05,1.66E-05
40,1.127,1007,0.02662,0.7255,2.35E-05,1.92E-05,1.70E-05
45,1.109,1007,0.02699,0.7241,2.42E-05,1.94E-05,1.75E-05
50,1.092,1007,0.02735,0.7228,2.49E-05,1.96E-05,1.80E-05
60,1.059,1007,0.02808,0.7202,2.63E-05,2.01E-05,1.90E-05
70,1.028,1007,0.02881,0.7177,2.78E-05,2.05E-05,2.00E-05
80,0.9994,1008,0.02953,0.7154,2.93E-05,2.10E-05,2.10E-05
90,0.9718,1008,0.03024,0.7132,3.09E-05,2.14E-05,2.20E-05
100,0.9458,1009,0.03095,0.7111,3.24E-05,2.18E-05,2.31E-05
120,0.8977,1011,0.03235,0.7073,3.57E-05,2.26E-05,2.52E-05
140,0.8542,1013,0.03374,0.7041,3.90E-05,2.35E-05,2.75E-05
160,0.8148,1016,0.03511,0.7014,4.24E-05,2.42E-05,2.98E-05
180,0.7788,1019,0.03646,0.6992,4.59E-05,2.50E-05,3.21E-05
200,0.7459,1023,0.03779,0.6974,4.95E-05,2.58E-05,3.46E-05
250,0.6746,1033,0.04104,0.6946,5.89E-05,2.76E-05,4.09E-05
300,0.6158,1044,0.04418,0.6935,6.87E-05,2.93E-05,4.77E-05
350,0.5664,1056,0.04721,0.6937,7.89E-05,3.10E-05,5.48E-05
400,0.5243,1069,0.05015,0.6948,8.95E-05,3.26E-05,6.22E-05
450,0.488,1081,0.05298,0.6965,1.00E-04,3.42E-05,7.00E-05
500,0.4565,1093,0.05572,0.6986,1.12E-04,3.56E-05,7.81E-05
600,0.4042,1115,0.06093,0.7037,1.35E-04,3.85E-05,9.52E-05
700,0.3627,1135,0.06581,0.7092,1.60E-04,4.11E-05,1.13E-04
800,0.3289,1153,0.07037,0.7149,1.86E-04,4.36E-05,1.33E-04
900,0.3008,1169,0.07465,0.7206,2.12E-04,4.60E-05,1.53E-04
1000,0.2772,1184,0.07868,0.726,2.40E-04,4.83E-05,1.74E-04
1500,0.199,1234,0.09599,0.7478,3.91E-04,5.82E-05,2.92E-04
2000,0.1553,1264,0.11113,0.7539,5.66E-04,6.63E-05,4.27E-04
